HydroYear	Value	cType	cWidth	RCindx
1741	3487.88	0	526.88	1
1742	2961	-1	0	1
1743	610	-1	0	1
1744	2961	-1	0	1
1745	610	-1	0	1
1746	2961	-1	0	1
1747	2961	-1	0	1
1748	2961	-1	0	1
1749	2961	-1	0	1
1750	2961	-1	0	1
1751	2961	-1	0	1
1752	2961	-1	0	1
1753	2961	-1	0	1
1754	2961	-1	0	1
1755	2961	-1	0	1
1756	2961	-1	0	1
1757	2961	-1	0	1
1758	610	-1	0	1
1759	2961	-1	0	1
1760	2961	-1	0	1
1761	2961	-1	0	1
1762	2961	-1	0	1
1763	2961	-1	0	1
1764	2961	-1	0	1
1765	2961	-1	0	1
1766	1785.5	0	1175.5	1
1767	2961	-1	0	1
1768	4014.76	0	0	1
1769	2961	-1	0	1
1770	610	-1	0	1
1771	2961	-1	0	1
1772	2961	-1	0	1
1773	2961	-1	0	1
1774	2961	-1	0	1
1775	2961	-1	0	1
1776	2961	-1	0	1
1777	2961	-1	0	1
1778	2961	-1	0	1
1779	2961	-1	0	1
1780	2961	-1	0	1
1781	2961	-1	0	1
1782	2961	-1	0	1
1783	2961	-1	0	1
1784	2961	-1	0	1
1785	2961	-1	0	1
1786	610	-1	0	1
1787	2961	-1	0	1
1788	2961	-1	0	1
1789	2961	-1	0	1
1790	2961	-1	0	1
1791	2961	-1	0	1
1792	2961	-1	0	1
1793	2961	-1	0	1
1794	2961	-1	0	1
1795	2961	-1	0	1
1796	2961	-1	0	1
1797	2961	-1	0	1
1798	2961	-1	0	1
1799	2961	-1	0	1
1800	2961	-1	0	1
1801	2961	-1	0	1
1802	2961	-1	0	1
1803	2961	-1	0	1
1804	2961	-1	0	1
1805	610	-1	0	1
1806	610	-1	0	1
1807	610	-1	0	1
1808	1785.5	0	1175.5	1
1809	2961	-1	0	1
1810	2961	-1	0	1
1811	610	-1	0	1
1812	2961	-1	0	1
1813	2961	-1	0	1
1814	2961	-1	0	1
1815	3653.38	0	0	1
1816	2961	-1	0	1
1817	2961	-1	0	1
1818	2961	-1	0	1
1819	2961	-1	0	1
1820	2961	-1	0	1
1821	2961	-1	0	1
1822	2961	-1	0	1
1823	2961	-1	0	1
1824	2961	-1	0	1
1825	2961	-1	0	1
1826	610	-1	0	1
1827	610	-1	0	1
1828	2961	-1	0	1
1829	2961	-1	0	1
1830	2961	-1	0	1
1831	2961	-1	0	1
1832	2961	-1	0	1
1833	2961	-1	0	1
1834	1785.5	0	1175.5	1
1835	2961	-1	0	1
1836	2961	-1	0	1
1837	2961	-1	0	1
1838	2961	-1	0	1
1839	2961	-1	0	1
1840	1785.5	0	1175.5	1
1841	2961	-1	0	1
1842	2961	-1	0	1
1843	2961	-1	0	1
1844	1785.5	0	1175.5	1
1845	2961	-1	0	1
1846	4136.66	0	0	1
1847	4136.66	0	0	1
1848	2961	-1	0	1
1849	2961	-1	0	1
1850	2961	-1	0	1
1851	2961	-1	0	1
1852	2961	-1	0	1
1853	2961	-1	0	1
1854	2961	-1	0	1
1855	610	-1	0	1
1856	2961	-1	0	1
1857	610	-1	0	1
1858	1785.5	0	1175.5	1
1859	2961	-1	0	1
1860	2961	-1	0	1
1861	4865.875	0	729.215	1
1862	2961	-1	0	1
1863	2961	-1	0	1
1864	2961	-1	0	1
1865	2961	-1	0	1
1866	2961	-1	0	1
1867	2961	-1	0	1
1868	173.77	0	0	1
1869	2961	-1	0	1
1870	2961	-1	0	1
1871	2961	-1	0	1
1872	2961	-1	0	1
1873	2961	-1	0	1
1874	2961	-1	0	1
1875	1785.5	0	1175.5	1
1876	2961	-1	0	1
1877	2961	-1	0	1
1878	2961	-1	0	1
1879	2961	-1	0	1
1880	2961	-1	0	1
1881	2961	-1	0	1
1882	2961	-1	0	1
1883	2961	-1	0	1
1884	2961	-1	0	1
1885	2961	-1	0	1
1886	2961	-1	0	1
1887	2961	-1	0	1
1888	2961	-1	0	1
1889	2961	-1	0	1
1890	4259.06	0	0	1
1891	3893.49	0	0	1
1892	610.01	0	0	1
1893	610.01	0	0	1
1894	256.42	0	0	1
1895	173.77	0	0	1
1896	234.05	0	0	1
1897	421.82	0	0	1
1898	421.82	0	0	1
1899	908.4	0	0	1
1900	1945.08	0	0	1
1901	280.11	0	0	1
1902	421.82	0	0	1
1903	455.44	0	0	1
1904	88.76	0	0	1
1905	173.77	0	0	1
1906	421.82	0	0	1
